,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition
1299,20,RM,50.0,6000,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,5,1948,1950,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,2,CBlock,3,3,1,5,104.0,4,169.0,516.0,789.0,GasA,4,Y,SBrkr,789,0,0,789,0.0,0.0,1,0,2,1,2,5,7,0,0,Detchd,1948.0,1,1.0,250.0,3,3,2,0,0,0,0,0,0,0,0,None,0,4,2008,WD ,Partial
2238,30,RM,59.0,8263,Pave,None,Reg,Bnk,AllPub,Inside,Mod,IDOTRR,Norm,Norm,1Fam,1Story,6,5,1920,1950,Gable,CompShg,BrkFace,BrkFace,None,0.0,2,2,BrkTil,3,3,1,1,0.0,1,0.0,1012.0,1012.0,GasA,2,Y,FuseA,1012,0,0,1012,0.0,0.0,1,0,2,1,2,6,7,1,4,Detchd,1920.0,1,1.0,308.0,3,3,2,0,22,112,0,0,0,0,3,None,0,5,2007,WD ,Normal
1313,75,RM,60.0,9600,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2.5Unf,6,5,1917,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,2,2,BrkTil,4,3,1,3,319.0,1,0.0,416.0,735.0,OthW,1,N,SBrkr,1134,924,0,2058,0.0,0.0,1,1,3,1,2,8,7,1,4,Detchd,1950.0,1,2.0,396.0,2,2,1,0,0,259,0,0,0,0,0,None,0,4,2008,WD ,Normal
1885,20,RL,74.0,7450,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1956,1956,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,2,CBlock,3,3,1,3,438.0,2,206.0,250.0,894.0,GasA,3,Y,SBrkr,1074,0,0,1074,0.0,0.0,1,0,2,1,3,6,6,1,4,Detchd,1966.0,1,2.0,396.0,3,3,2,0,72,0,0,0,0,0,2,None,0,1,2007,WD ,Normal
607,20,RL,115.0,10500,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1964,1964,Gable,CompShg,HdBoard,HdBoard,Stone,144.0,2,3,CBlock,3,3,1,2,998.0,1,0.0,294.0,1292.0,GasA,2,Y,SBrkr,1292,0,0,1292,1.0,0.0,1,1,3,1,2,6,7,2,4,Detchd,1964.0,1,2.0,520.0,3,3,2,0,32,0,0,92,0,0,0,None,0,7,2009,COD,Abnorml
1468,120,RM,37.0,4435,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,TwnhsE,1Story,6,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,170.0,3,2,PConc,4,3,3,6,686.0,1,0.0,162.0,848.0,GasA,4,Y,SBrkr,848,0,0,848,1.0,0.0,1,0,1,1,3,3,7,0,0,Attchd,2003.0,3,2.0,420.0,3,3,2,140,0,0,0,0,0,0,0,None,0,3,2008,WD ,Normal
151,190,RL,70.0,13587,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,2fmCon,1Story,5,5,1958,1958,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,2,CBlock,3,3,3,3,532.0,1,0.0,456.0,988.0,GasA,2,Y,SBrkr,988,0,0,988,1.0,0.0,1,0,2,1,2,5,7,0,0,Attchd,1958.0,1,1.0,264.0,3,3,2,0,0,0,0,0,0,0,0,None,0,4,2010,WD ,Abnorml
1208,20,RL,100.0,10175,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1964,1964,Gable,CompShg,HdBoard,Plywood,BrkFace,272.0,2,2,CBlock,3,3,1,4,490.0,1,0.0,935.0,1425.0,GasA,3,Y,SBrkr,1425,0,0,1425,0.0,0.0,2,0,3,1,2,7,7,1,4,Attchd,1964.0,2,2.0,576.0,3,3,2,0,0,0,407,0,0,0,0,None,0,7,2008,WD ,Normal
2089,50,RL,104.0,23920,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Feedr,Norm,1Fam,1.5Fin,6,5,1984,1984,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,2,CBlock,3,3,1,1,0.0,1,0.0,1105.0,1105.0,GasA,4,Y,SBrkr,1105,717,0,1822,0.0,0.0,2,0,4,1,3,7,5,1,1,Attchd,1984.0,1,2.0,515.0,3,3,1,0,195,1012,0,0,444,2,0,None,0,4,2007,WD ,Normal
731,70,RL,50.0,4960,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,RRAn,Norm,1Fam,1.5Fin,5,7,1930,1982,Gable,CompShg,WdShing,Wd Shng,None,0.0,2,2,CBlock,3,3,1,1,0.0,1,0.0,297.0,297.0,GasA,4,Y,SBrkr,1001,653,0,1654,0.0,0.0,2,0,3,1,2,7,7,1,4,Detchd,1955.0,1,1.0,336.0,3,3,0,244,60,0,0,0,0,0,0,None,0,5,2009,WD ,Normal
2389,60,RL,80.0,10240,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,178.0,3,2,PConc,4,3,2,1,0.0,1,0.0,1030.0,1030.0,GasA,3,Y,SBrkr,1038,1060,0,2098,0.0,0.0,2,1,3,1,4,8,7,1,4,Attchd,2005.0,2,3.0,878.0,3,3,2,192,52,0,0,0,0,0,0,None,0,3,2006,WD ,Normal
1510,50,RL,59.0,16466,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,7,1955,1955,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,3,PConc,3,3,1,1,0.0,1,0.0,816.0,816.0,GasA,2,Y,SBrkr,872,521,0,1393,0.0,0.0,1,1,3,1,2,8,7,0,0,Attchd,1955.0,1,1.0,300.0,3,3,2,121,0,0,0,265,0,0,0,None,0,4,2008,WD ,Normal
2666,75,RM,90.0,22950,Pave,None,IR2,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,2.5Fin,10,9,1892,1993,Gable,WdShngl,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3,3,2,1,0.0,1,0.0,1107.0,1107.0,GasA,4,Y,SBrkr,1518,1518,572,3608,0.0,0.0,2,1,4,1,4,12,7,2,3,Detchd,1993.0,1,3.0,840.0,5,3,2,0,260,0,0,410,0,0,4,None,0,6,2006,WD ,Normal
23,20,RL,73.0,11241,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,2,2,CBlock,3,3,1,5,578.0,1,0.0,426.0,1004.0,GasA,4,Y,SBrkr,1004,0,0,1004,1.0,0.0,1,0,2,1,2,5,7,1,3,Attchd,1970.0,3,2.0,480.0,3,3,2,0,0,0,0,0,0,0,0,Shed,700,3,2010,WD ,Normal
1566,80,RL,76.0,9880,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,SLvl,6,6,1977,1977,Gable,CompShg,Plywood,Plywood,None,0.0,2,2,CBlock,3,3,3,5,522.0,1,0.0,574.0,1096.0,GasA,2,Y,SBrkr,1118,0,0,1118,1.0,0.0,1,0,3,1,2,6,7,1,1,Attchd,1977.0,3,1.0,358.0,3,3,2,203,0,0,0,0,576,3,4,None,0,7,2008,WD ,Normal
158,90,RL,64.0,6979,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,Duplex,SFoyer,6,5,1980,1980,Gable,CompShg,Plywood,Plywood,None,0.0,2,2,CBlock,3,3,1,6,1056.0,1,0.0,0.0,1056.0,GasA,3,Y,SBrkr,1056,0,0,1056,2.0,0.0,0,0,0,2,2,4,7,0,0,Detchd,1980.0,1,2.0,576.0,3,3,2,264,56,0,0,0,0,0,4,Shed,600,6,2010,WD ,Normal
861,85,RL,70.0,8445,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,SFoyer,5,7,1972,2007,Gable,CompShg,HdBoard,Wd Shng,None,0.0,2,2,CBlock,4,3,3,6,656.0,1,0.0,112.0,768.0,GasA,2,Y,SBrkr,768,0,0,768,1.0,0.0,1,0,2,1,2,5,7,0,0,Detchd,1988.0,1,2.0,396.0,3,3,2,58,0,0,0,0,0,0,3,None,0,3,2009,WD ,Normal
902,50,RL,67.0,12354,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,6,8,1920,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,2,BrkTil,3,2,2,1,0.0,1,0.0,684.0,684.0,GasA,3,Y,SBrkr,684,512,0,1196,0.0,0.0,1,0,3,1,3,7,7,0,0,Detchd,2005.0,1,2.0,528.0,3,3,2,0,46,0,0,0,0,0,4,Shed,800,8,2009,ConLI,Normal
1356,60,RM,57.0,8094,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2.5Unf,6,8,1910,1983,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,2,PConc,3,3,2,3,196.0,1,0.0,1046.0,1242.0,GasA,3,Y,SBrkr,1242,742,0,1984,0.0,0.0,2,0,5,1,2,8,7,0,0,Detchd,0.0,0,1.0,360.0,0,0,2,64,0,180,0,0,0,0,3,Shed,1000,9,2008,WD ,Normal
2549,20,RL,69.0,8973,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1958,1991,Gable,CompShg,Plywood,Plywood,BrkFace,85.0,2,2,CBlock,3,3,1,3,567.0,4,28.0,413.0,1008.0,GasA,2,Y,FuseA,1053,0,0,1053,0.0,1.0,1,1,3,1,4,6,7,0,0,2Types,1998.0,2,2.0,750.0,3,3,2,0,80,0,180,0,0,0,1,None,0,7,2006,WD ,Abnorml
444,20,RL,85.0,10655,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2003,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,296.0,3,2,PConc,4,3,1,6,1124.0,0,479.0,1603.0,3206.0,GasA,4,Y,SBrkr,1629,0,0,1629,1.0,0.0,2,0,3,1,3,7,7,1,4,Attchd,2003.0,2,3.0,880.0,3,3,2,0,0,0,0,0,0,0,0,None,0,10,2009,WD ,Normal
2871,20,RL,70.0,16381,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1Story,6,5,1969,1969,Gable,CompShg,Plywood,Plywood,BrkFace,312.0,3,3,CBlock,3,3,3,3,1110.0,1,0.0,734.0,1844.0,GasA,3,Y,SBrkr,1844,0,0,1844,1.0,0.0,2,0,3,1,3,7,7,1,3,Attchd,1969.0,2,2.0,540.0,3,3,2,0,73,216,0,0,0,0,0,None,0,12,2006,WD ,Normal
2309,20,RL,90.0,11727,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,6,1969,1969,Gable,CompShg,HdBoard,HdBoard,BrkFace,434.0,2,3,CBlock,3,3,2,1,0.0,1,0.0,1851.0,1851.0,GasA,3,Y,SBrkr,1851,0,0,1851,0.0,0.0,2,0,3,1,2,8,7,1,3,Attchd,1969.0,3,2.0,506.0,3,3,2,0,146,0,0,0,0,0,0,None,0,3,2006,WD ,Normal
923,30,RL,80.0,13360,Pave,Grvl,IR1,HLS,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1Story,5,7,1921,2006,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,3,BrkTil,4,3,1,5,713.0,1,0.0,163.0,876.0,GasA,4,Y,SBrkr,964,0,0,964,1.0,0.0,1,0,2,1,2,5,7,0,0,Detchd,1921.0,1,2.0,432.0,3,3,2,0,0,44,0,0,0,0,0,None,0,8,2009,WD ,Normal
2902,20,RL,88.0,11577,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,9,5,2005,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,382.0,4,2,PConc,4,3,4,6,1455.0,1,0.0,383.0,1838.0,GasA,4,Y,SBrkr,1838,0,0,1838,1.0,0.0,2,0,3,1,4,9,7,1,4,Attchd,2005.0,3,3.0,682.0,3,3,2,161,225,0,0,0,0,0,0,None,0,9,2006,New,Partial
2050,20,RL,62.0,14299,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,4,3,1964,1964,Gable,CompShg,HdBoard,HdBoard,None,0.0,2,2,CBlock,3,3,1,3,513.0,2,144.0,348.0,1005.0,GasA,2,Y,SBrkr,1005,0,0,1005,1.0,0.0,1,0,3,1,2,5,7,0,0,Detchd,1964.0,1,2.0,440.0,3,3,0,0,0,0,0,0,0,0,3,None,0,7,2007,WD ,Normal
311,20,RL,129.0,9196,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,2,PConc,5,3,1,1,0.0,1,0.0,1560.0,1560.0,GasA,4,Y,SBrkr,1560,0,0,1560,0.0,0.0,2,0,3,1,3,7,7,0,0,Attchd,2003.0,3,2.0,573.0,3,3,2,100,150,0,0,0,0,0,0,None,0,4,2010,WD ,Normal
548,120,RL,50.0,7175,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,TwnhsE,1Story,6,5,1990,1991,Gable,CompShg,Plywood,ImStucc,None,0.0,3,2,PConc,4,3,1,1,0.0,1,0.0,1332.0,1332.0,GasA,3,Y,SBrkr,1332,0,0,1332,0.0,0.0,2,0,2,1,3,5,7,0,0,Attchd,1990.0,2,2.0,542.0,3,3,2,0,60,0,0,0,0,0,0,None,0,2,2009,WD ,Normal
1835,120,FV,80.0,3523,Pave,Pave,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,1Story,8,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,30.0,3,2,PConc,4,3,1,6,60.0,1,0.0,1081.0,1141.0,GasA,4,Y,SBrkr,1151,0,0,1151,1.0,0.0,2,0,2,1,3,5,7,0,0,Attchd,2006.0,3,2.0,484.0,3,3,2,0,60,0,0,0,0,0,0,None,0,2,2007,New,Partial
2083,30,RL,58.0,9098,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,4,7,1920,2002,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,2,BrkTil,3,3,2,5,348.0,1,0.0,180.0,528.0,GasA,4,Y,SBrkr,605,0,0,605,1.0,0.0,1,0,2,1,2,5,7,0,0,None,0.0,0,0.0,0.0,0,0,0,0,0,144,0,0,0,0,0,None,0,7,2007,WD ,Normal
306,20,C (all),66.0,8712,Grvl,None,Reg,Bnk,AllPub,Inside,Mod,IDOTRR,Norm,Norm,1Fam,1Story,5,5,1952,1952,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,1,2,CBlock,3,3,3,1,0.0,1,0.0,540.0,540.0,GasA,2,N,FuseA,1044,0,0,1044,0.0,0.0,1,0,2,1,1,4,7,0,0,Basment,1952.0,1,2.0,504.0,3,3,0,0,0,0,0,0,0,0,0,Shed,54,6,2010,WD ,Alloca
287,30,RL,45.0,8212,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,3,3,1914,1950,Gable,CompShg,Stucco,Stucco,None,0.0,2,1,BrkTil,3,2,1,3,203.0,1,0.0,661.0,864.0,GasA,2,N,FuseF,864,0,0,864,1.0,0.0,1,0,2,1,2,5,7,0,0,Detchd,1938.0,1,1.0,200.0,3,2,2,0,0,96,0,0,0,0,0,None,0,6,2010,WD ,Normal
694,90,RM,57.0,10307,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,Duplex,2Story,6,5,1910,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,2,CBlock,3,3,2,2,633.0,1,0.0,339.0,972.0,GasA,3,N,FuseA,972,972,0,1944,1.0,0.0,2,0,4,2,2,12,7,0,0,Detchd,1920.0,1,2.0,324.0,2,3,0,0,28,169,0,0,0,0,0,None,0,6,2009,WD ,Normal
308,120,RM,44.0,3811,Pave,None,IR1,HLS,AllPub,Corner,Mod,Crawfor,Artery,Norm,TwnhsE,1Story,8,5,2004,2005,Hip,CompShg,CemntBd,CmentBd,Stone,186.0,3,2,PConc,5,3,4,6,1373.0,1,0.0,221.0,1594.0,GasA,4,Y,SBrkr,1646,0,0,1646,1.0,1.0,2,0,2,1,3,5,7,1,4,Attchd,2004.0,3,2.0,525.0,3,3,2,128,53,0,0,155,0,0,0,None,0,5,2010,WD ,Normal
2263,20,RL,67.0,10656,Pave,None,IR1,HLS,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,8,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,274.0,3,2,PConc,4,3,3,1,0.0,1,0.0,1638.0,1638.0,GasA,4,Y,SBrkr,1646,0,0,1646,0.0,0.0,2,0,3,1,3,6,7,1,4,Attchd,2007.0,2,3.0,870.0,3,3,2,192,80,0,0,0,0,0,0,None,0,11,2007,New,Partial
749,70,RM,57.0,8094,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,6,6,1915,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,2,PConc,3,3,1,1,0.0,1,0.0,1048.0,1048.0,GasA,3,Y,FuseA,1048,720,0,1768,0.0,0.0,2,0,3,1,2,8,7,0,0,Detchd,1930.0,1,2.0,576.0,2,2,2,0,0,150,0,0,0,0,0,None,0,6,2009,WD ,Normal
1457,60,RL,73.0,9066,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,8,5,1999,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,320.0,3,2,PConc,4,3,2,6,668.0,1,0.0,336.0,1004.0,GasA,4,Y,SBrkr,1004,848,0,1852,0.0,0.0,2,1,3,1,3,7,7,2,3,Attchd,1999.0,3,3.0,660.0,3,3,2,224,106,0,0,0,0,0,4,None,0,12,2008,WD ,Normal
908,50,RL,60.0,9900,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,6,7,1940,1950,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,2,BrkTil,3,3,1,1,0.0,1,0.0,778.0,778.0,GasA,2,Y,SBrkr,944,545,0,1489,0.0,0.0,2,0,3,1,2,7,7,1,4,Detchd,1940.0,1,1.0,240.0,3,3,2,335,0,0,0,0,0,0,2,None,0,7,2009,WD ,Normal
2035,60,RM,60.0,9780,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,2Story,7,9,1950,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,4,CBlock,3,3,1,2,354.0,3,398.0,224.0,976.0,GasA,4,Y,SBrkr,976,976,0,1952,0.0,0.0,1,1,4,1,3,8,7,2,3,Detchd,1950.0,3,1.0,299.0,3,3,2,285,0,0,0,216,0,0,0,None,0,4,2007,WD ,Normal
2323,20,RL,64.0,8076,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,6,1993,1994,Gable,CompShg,HdBoard,HdBoard,BrkFace,112.0,2,2,PConc,4,3,1,6,705.0,1,0.0,455.0,1160.0,GasA,3,Y,SBrkr,1169,0,0,1169,0.0,1.0,2,0,3,1,2,6,7,1,3,Attchd,1993.0,3,2.0,402.0,3,3,2,0,26,0,0,144,0,0,3,None,0,7,2006,WD ,Normal
1206,20,RL,73.0,8475,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,7,1956,1956,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,2,CBlock,3,3,1,5,228.0,1,0.0,724.0,952.0,GasA,4,Y,FuseA,952,0,0,952,0.0,0.0,1,0,2,1,2,4,7,0,0,Detchd,1956.0,1,1.0,283.0,3,3,2,0,0,0,0,0,0,0,0,None,0,4,2008,WD ,Normal
2434,60,RL,106.0,11194,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,40.0,3,2,PConc,4,3,1,1,0.0,1,0.0,1406.0,1406.0,GasA,4,Y,SBrkr,1454,482,0,1936,0.0,0.0,2,1,3,1,3,7,7,1,3,Attchd,2000.0,2,2.0,504.0,3,3,2,188,124,0,0,0,0,0,0,None,0,11,2006,WD ,Normal
970,20,RL,100.0,21750,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,4,1960,2006,Hip,CompShg,HdBoard,HdBoard,BrkFace,75.0,2,1,Slab,0,0,0,0,0.0,0,0.0,0.0,0.0,GasA,2,Y,SBrkr,1771,0,0,1771,0.0,0.0,1,0,3,1,2,9,6,1,3,Attchd,1960.0,1,2.0,336.0,3,3,2,0,0,0,0,0,0,0,4,None,0,11,2009,WD ,Normal
13,20,RL,85.0,10176,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,5,1990,1990,Gable,CompShg,HdBoard,HdBoard,None,0.0,2,2,PConc,4,3,4,6,637.0,1,0.0,663.0,1300.0,GasA,3,Y,SBrkr,1341,0,0,1341,1.0,0.0,1,1,2,1,3,5,7,1,1,Attchd,1990.0,1,2.0,506.0,3,3,2,192,0,0,0,0,0,0,0,None,0,2,2010,WD ,Normal
873,60,RL,70.0,9375,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,573.0,2,2,PConc,4,3,1,6,739.0,1,0.0,318.0,1057.0,GasA,4,Y,SBrkr,1057,977,0,2034,1.0,0.0,2,1,3,1,3,8,7,0,0,Attchd,1998.0,2,2.0,645.0,3,3,2,576,36,0,0,0,0,0,4,None,0,2,2009,WD ,Normal
808,90,RL,64.0,7018,Pave,None,Reg,Bnk,AllPub,Inside,Gtl,SawyerW,Feedr,Norm,Duplex,SFoyer,5,5,1979,1979,Gable,CompShg,Plywood,Plywood,Stone,275.0,2,2,CBlock,4,3,3,6,1086.0,1,0.0,0.0,1086.0,GasA,2,Y,SBrkr,1224,0,0,1224,2.0,0.0,0,2,2,2,2,6,7,2,3,Detchd,1979.0,1,2.0,528.0,3,3,2,120,0,0,0,0,0,0,0,None,0,6,2009,WD ,Alloca
514,60,FV,72.0,8640,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,2,PConc,4,3,1,6,822.0,1,0.0,78.0,900.0,GasA,4,Y,SBrkr,932,920,0,1852,1.0,0.0,2,1,3,1,3,7,7,1,3,Attchd,2009.0,2,2.0,644.0,3,3,2,168,108,0,0,0,0,0,0,None,0,7,2009,New,Partial
2355,20,RL,78.0,10140,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,5,6,1975,1975,Gable,CompShg,HdBoard,HdBoard,None,0.0,2,2,CBlock,4,3,1,5,788.0,1,0.0,268.0,1056.0,GasA,4,Y,SBrkr,1074,0,0,1074,1.0,0.0,1,1,3,1,2,6,7,0,0,Attchd,1975.0,2,2.0,495.0,3,3,2,0,88,0,0,0,0,0,3,None,0,7,2006,WD ,Normal
409,160,RL,24.0,2308,Pave,None,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,TwnhsE,2Story,6,5,1976,1976,Gable,CompShg,Plywood,Brk Cmn,None,0.0,2,2,CBlock,4,3,1,5,306.0,1,0.0,498.0,804.0,GasA,2,Y,SBrkr,804,744,0,1548,0.0,0.0,2,1,3,1,2,7,7,1,3,Detchd,1976.0,2,2.0,440.0,3,3,2,108,0,0,0,0,0,0,0,None,0,9,2009,WD ,Normal
2754,20,RL,86.0,11210,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,240.0,3,2,PConc,4,3,3,6,20.0,1,0.0,1594.0,1614.0,GasA,4,Y,SBrkr,1614,0,0,1614,0.0,0.0,2,0,3,1,3,7,7,0,0,Attchd,2005.0,2,3.0,865.0,3,3,2,144,59,0,0,0,0,0,0,None,0,7,2006,New,Partial
2203,50,RL,55.0,7642,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,1.5Fin,7,8,1918,1998,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,2,BrkTil,3,3,1,1,0.0,1,0.0,912.0,912.0,GasA,3,Y,SBrkr,912,514,0,1426,0.0,0.0,1,1,3,1,3,7,7,1,4,Detchd,1925.0,1,1.0,216.0,3,3,2,0,240,0,0,0,0,0,4,None,0,6,2007,WD ,Normal
1230,20,RL,75.0,7875,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1961,1961,Gable,CompShg,VinylSd,VinylSd,BrkFace,136.0,2,2,CBlock,3,3,1,3,572.0,1,0.0,572.0,1144.0,GasA,3,Y,SBrkr,1144,0,0,1144,1.0,0.0,1,0,3,1,2,6,7,0,0,Attchd,1961.0,1,2.0,456.0,3,3,2,0,0,0,0,0,0,0,2,None,0,9,2008,WD ,Normal
1151,20,RL,75.0,8100,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,5,8,1961,2007,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,3,CBlock,3,3,1,5,764.0,1,0.0,100.0,864.0,GasA,4,Y,SBrkr,864,0,0,864,1.0,0.0,1,0,3,1,3,5,7,1,3,Detchd,1962.0,1,1.0,420.0,3,3,2,132,0,0,0,0,0,0,0,None,0,7,2008,WD ,Normal
